property_type,sector,price,areaWithType,bedRoom,bathroom,balcony,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,furnishing_type,luxury_category,floorNum_cat
1.0,80.0,0.75,988.0,2,2,2.0,1.0,1827.75,745.0,1294.0,0,0,0,1.0,0.0
0.0,88.0,1.85,1498.0,3,3,4.0,3.0,1799.0,1650.0,1538.0,0,0,1,1.0,1.0
0.0,82.0,0.7,28.0,2,2,2.0,3.0,1827.75,1224.0,1294.0,0,0,0,1.0,2.0
0.0,101.0,0.32,634.0,2,2,1.0,3.0,1827.75,1650.0,549.174178,0,0,1,2.0,2.0
0.0,2.0,0.85,519.0,3,3,2.0,0.0,1827.75,1650.0,2300.0,0,0,0,1.0,1.0
0.0,100.0,1.25,164.0,4,4,3.0,3.0,1827.75,2105.0,1700.0,0,0,0,1.0,0.0
0.0,73.0,0.54,711.0,2,2,1.0,3.0,1827.75,1650.0,900.0,0,0,0,2.0,1.0
0.0,76.0,0.79,1054.0,2,2,2.0,3.0,1198.0,1650.0,1294.0,0,0,0,1.0,2.0
1.0,28.0,10.0,854.0,5,5,4.0,0.0,1827.75,9500.0,9000.0,0,1,2,1.0,1.0
0.0,57.0,1.71,177.0,3,3,4.0,0.0,1827.75,2251.0,2250.0,0,1,1,2.0,2.0
0.0,14.0,1.4,1320.0,3,3,3.0,3.0,1615.0,1550.0,1450.0,0,0,1,2.0,2.0
0.0,69.0,3.65,2000.0,3,4,4.0,3.0,2698.0,2490.0,1294.0,0,1,1,2.0,0.0
0.0,10.0,0.6,318.0,3,2,2.0,3.0,1827.75,750.0,650.0,0,0,0,2.0,2.0
0.0,72.0,1.44,1305.0,3,3,2.0,3.0,1578.0,1650.0,1200.0,0,0,0,0.0,1.0
0.0,17.0,2.37,159.0,4,4,4.0,4.0,1827.75,2060.0,1600.0,1,0,0,2.0,0.0
0.0,7.0,0.2,560.0,1,2,2.0,1.0,1827.75,1650.0,301.0,0,0,0,2.0,1.0
0.0,35.0,1.5,411.0,2,2,4.0,4.0,1827.75,1650.0,1385.0,0,0,0,2.0,1.0
0.0,17.0,1.83,45.0,2,2,0.0,3.0,1827.75,1310.0,1294.0,0,0,0,2.0,2.0
1.0,41.0,3.2,836.0,3,3,2.0,2.0,1827.75,2250.0,1294.0,0,0,0,1.0,1.0
0.0,94.0,0.5,655.0,3,2,2.0,4.0,1827.75,1650.0,597.0,0,0,0,1.0,1.0
0.0,43.0,3.4,212.0,4,4,3.0,3.0,1827.75,2900.0,1294.0,0,0,0,1.0,1.0
0.0,5.0,4.55,2160.0,4,4,4.0,3.0,4650.0,4630.0,4550.0,0,0,1,2.0,0.0
0.0,49.0,1.72,509.0,3,3,2.0,2.0,1827.75,1650.0,2200.0,0,0,1,2.0,1.0
0.0,63.0,2.2,448.0,3,3,2.0,4.0,1827.75,1650.0,1600.0,0,0,0,1.0,1.0
0.0,87.0,0.63,1041.0,2,2,4.0,3.0,1134.0,1650.0,1294.0,1,0,0,2.0,1.0
0.0,37.0,1.4,1659.0,3,3,4.0,3.0,1990.0,1890.0,1790.0,0,1,0,2.0,2.0
0.0,74.0,1.13,1319.0,3,3,2.0,4.0,1610.0,1650.0,1294.0,0,0,0,1.0,1.0
1.0,7.0,1.95,1010.0,3,5,4.0,0.0,1827.75,920.0,1294.0,0,0,0,2.0,1.0
0.0,74.0,1.75,149.0,3,5,0.0,3.0,1827.75,1950.0,1294.0,0,0,0,1.0,1.0
